method,lookback,alpha,n_obs,exceptions,expected,exception_rate,lr_uc,p_value_uc,lr_ind,p_value_ind,n00,n01,n10,n11
historical,252,0.01,3916,60,39.160000000000004,0.015321756894790603,9.63487629060944,0.0019091706399647634,17.565972732555792,2.7750987231067725e-05,3803,53,53,7
gaussian,252,0.01,3916,105,39.160000000000004,0.026813074565883555,76.5684903365892,0.0,14.978004727513849,0.00010877165409173273,3717,94,94,11
